Date,Open,High,Low,Close,Volume,OI
2009-03-23,1.46,1.51,1.41,1.48,421000,0
2009-03-24,1.43,1.43,1.43,1.43,19800,0
2009-03-25,1.43,1.43,1.42,1.42,26900,0
2009-03-26,1.42,1.42,1.42,1.42,59000,0
2009-03-27,1.46,1.46,1.46,1.46,100,0
2009-03-31,1.43,1.47,1.42,1.47,511000,0
2009-04-01,1.42,1.46,1.4,1.46,127000,0
2009-04-02,1.46,1.46,1.46,1.46,200,0
2009-04-03,1.41,1.41,1.4,1.41,140000,0
2009-04-07,1.4,1.42,1.4,1.42,45000,0
2009-04-08,1.45,1.45,1.45,1.45,100,0
2009-04-10,1.4,1.49,1.4,1.46,121700,0
2009-04-16,1.46,1.46,1.41,1.41,79500,0
2009-04-17,1.41,1.41,1.41,1.41,70000,0
2009-04-20,1.41,1.41,1.4,1.4,170001,0
2009-04-21,1.42,1.44,1.4,1.4,305500,0
2009-04-22,1.41,1.43,1.4,1.43,1108500,0
2009-04-23,1.43,1.43,1.42,1.43,1115100,0
2009-04-24,1.43,1.43,1.43,1.43,397100,0
2009-04-27,1.43,1.43,1.41,1.41,1131200,0
2009-04-28,1.41,1.42,1.4,1.42,79100,0
2009-04-29,1.42,1.51,1.42,1.51,114900,0
2009-04-30,1.44,1.44,1.39,1.44,437000,0
2009-05-04,1.41,1.42,1.41,1.41,158400,0
2009-05-06,1.41,1.41,1.4,1.4,200000,0
2009-05-07,1.4,1.4,1.4,1.4,10100,0
2009-05-11,1.41,1.41,1.4,1.4,112500,0
2009-05-12,1.4,1.41,1.39,1.41,172000,0
2009-05-13,1.41,1.43,1.4,1.43,331000,0
2009-05-14,1.42,1.43,1.4,1.4,124500,0
2009-05-15,1.41,1.47,1.4,1.4,300500,0
2009-05-18,1.4,1.4,1.1,1.4,2105000,0
2009-05-19,1.4,1.41,1.39,1.41,199900,0
2009-05-20,1.4,1.44,1.39,1.39,348900,0
2009-05-21,1.4,1.42,1.37,1.41,75800,0
2009-05-22,1.41,1.42,1.38,1.42,42600,0
2009-05-25,1.42,1.42,1.39,1.41,66200,0
2009-05-26,1.4,1.45,1.38,1.38,261900,0
2009-05-27,1.4,1.41,1.38,1.38,79000,0
2009-05-28,1.4,1.4,1.38,1.38,127500,0
2009-05-29,1.41,1.43,1.38,1.38,1183700,0
2009-06-01,1.39,1.41,1.39,1.41,1113000,0
2009-06-02,1.4,1.43,1.4,1.41,1510600,0
2009-06-03,1.41,1.42,1.4,1.4,1606500,0
2009-06-04,1.41,1.46,1.41,1.43,517901,0
2009-06-05,1.45,1.48,1.42,1.42,560800,0
2009-06-08,1.44,1.57,1.43,1.53,4022100,0
2009-06-09,1.53,1.55,1.5,1.53,1440300,0
